Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1961,0.292,0.082,0.411,0.573,0.513,0.631,0.893,0.848,0.967,2.903,2.704,3.09
1962,0.29,0.084,0.411,0.581,0.519,0.642,0.893,0.848,0.967,2.903,2.704,3.09
1963,0.278,0.091,0.408,0.6,0.543,0.67,0.893,0.848,0.967,2.903,2.704,3.09
1964,0.287,0.095,0.419,0.605,0.547,0.669,0.893,0.848,0.967,2.903,2.704,3.09
1965,0.282,0.081,0.411,0.608,0.556,0.678,0.893,0.848,0.967,2.903,2.704,3.09
1966,0.282,0.082,0.411,0.609,0.549,0.68,0.893,0.848,0.967,3.232,3.009,3.504
1967,0.285,0.09,0.407,0.616,0.543,0.674,0.893,0.848,0.967,3.232,3.009,3.504
1968,0.283,0.089,0.405,0.618,0.556,0.686,0.893,0.848,0.967,3.232,3.009,3.504
1969,0.27,0.085,0.391,0.61,0.544,0.672,0.925,0.887,0.98,3.232,3.009,3.504
1970,0.26,0.078,0.378,0.64,0.58,0.708,0.938,0.911,0.989,3.232,3.009,3.504
1971,0.236,0.056,0.339,0.645,0.577,0.702,0.938,0.911,0.989,3.335,3.119,3.626
1972,0.234,0.056,0.339,0.655,0.593,0.721,0.938,0.911,0.989,3.335,3.119,3.626
1973,0.222,0.054,0.343,0.675,0.61,0.74,0.938,0.911,0.989,3.335,3.119,3.626
1974,0.222,0.052,0.338,0.68,0.612,0.743,0.943,0.917,0.99,3.487,3.32,3.671
1975,0.218,0.045,0.312,0.712,0.649,0.777,0.943,0.917,0.99,3.487,3.32,3.671
1976,0.215,0.044,0.31,0.735,0.683,0.809,0.944,0.917,0.988,3.487,3.32,3.671
1977,0.201,0.043,0.297,0.779,0.724,0.834,0.944,0.917,0.988,3.487,3.32,3.671
1978,0.199,0.042,0.294,0.785,0.735,0.845,0.944,0.917,0.988,3.487,3.32,3.671
1979,0.188,0.039,0.28,0.783,0.722,0.837,0.944,0.917,0.988,3.487,3.32,3.671
1980,0.162,0.02,0.232,0.794,0.746,0.851,0.944,0.917,0.988,3.487,3.32,3.671
1981,0.183,0.034,0.273,0.777,0.717,0.833,0.944,0.917,0.988,3.487,3.32,3.671
1982,0.181,0.031,0.27,0.768,0.713,0.828,0.944,0.917,0.988,3.487,3.32,3.671
1983,0.172,0.016,0.252,0.773,0.713,0.827,0.944,0.917,0.988,3.487,3.32,3.671
1984,0.172,0.017,0.253,0.772,0.713,0.828,0.944,0.917,0.988,3.487,3.32,3.671
1985,0.176,0.027,0.256,0.767,0.714,0.834,0.944,0.917,0.988,3.487,3.32,3.671
1986,0.177,0.027,0.259,0.767,0.703,0.821,0.944,0.917,0.988,3.487,3.32,3.671
1987,0.178,0.03,0.272,0.77,0.709,0.827,0.944,0.917,0.988,3.487,3.32,3.671
1988,0.177,0.029,0.269,0.77,0.709,0.828,0.944,0.917,0.988,3.487,3.32,3.671
1989,0.123,0.014,0.188,0.764,0.711,0.833,0.944,0.917,0.988,3.487,3.32,3.671
1990,0.124,0.015,0.191,0.782,0.741,0.853,0.944,0.917,0.988,3.487,3.32,3.671
1991,0.127,0.019,0.205,0.789,0.738,0.85,0.944,0.917,0.988,3.487,3.32,3.671
1992,0.128,0.018,0.204,0.796,0.75,0.857,0.944,0.917,0.988,3.487,3.32,3.671
1993,0.12,0.009,0.186,0.829,0.785,0.881,0.944,0.917,0.988,3.487,3.32,3.671
1994,0.121,0.009,0.186,0.83,0.785,0.882,0.944,0.917,0.988,3.487,3.32,3.671
1995,0.127,0.009,0.19,0.826,0.78,0.877,0.944,0.917,0.988,3.487,3.32,3.671
1996,0.126,0.009,0.188,0.826,0.781,0.879,0.944,0.917,0.988,3.487,3.32,3.671
1997,0.117,0.009,0.174,0.827,0.787,0.886,0.944,0.917,0.988,3.487,3.32,3.671
1998,0.117,0.01,0.176,0.826,0.785,0.884,0.944,0.917,0.988,3.487,3.32,3.671
1999,0.121,0.015,0.19,0.821,0.777,0.877,0.944,0.917,0.988,3.487,3.32,3.671
2000,0.124,0.015,0.193,0.808,0.768,0.873,0.954,0.929,0.991,3.487,3.32,3.671
2001,0.134,0.011,0.197,0.737,0.689,0.814,0.949,0.922,0.988,3.487,3.32,3.671
2002,0.135,0.012,0.199,0.739,0.684,0.805,0.949,0.922,0.988,3.487,3.32,3.671
2003,0.142,0.018,0.214,0.771,0.728,0.841,0.949,0.922,0.988,3.487,3.32,3.671
2004,0.14,0.02,0.213,0.773,0.723,0.837,0.949,0.922,0.988,3.487,3.32,3.671
2005,0.132,0.029,0.208,0.782,0.729,0.841,0.949,0.922,0.988,3.487,3.32,3.671
2006,0.125,0.025,0.198,0.788,0.738,0.847,0.949,0.922,0.988,3.487,3.32,3.671
2007,0.088,0.005,0.137,0.826,0.781,0.871,0.947,0.92,0.989,3.487,3.32,3.671
2008,0.087,0.005,0.135,0.849,0.808,0.887,0.947,0.92,0.989,3.57,3.407,3.756
2009,0.074,0.002,0.115,0.863,0.828,0.903,0.951,0.933,0.993,3.638,3.504,3.834
2010,0.071,0.001,0.112,0.859,0.827,0.903,0.953,0.93,0.99,3.638,3.504,3.834
2011,0.068,0.001,0.107,0.857,0.823,0.9,0.953,0.93,0.99,3.638,3.504,3.834
2012,0.064,0.004,0.101,0.856,0.823,0.901,0.953,0.93,0.99,3.638,3.504,3.834
2013,0.062,0.002,0.104,0.865,0.834,0.912,0.961,0.942,0.994,3.638,3.504,3.834
2014,0.063,0.002,0.105,0.86,0.831,0.911,0.961,0.942,0.994,3.638,3.504,3.834
2015,0.072,0.004,0.112,0.854,0.821,0.9,0.961,0.942,0.994,3.638,3.504,3.834
2016,0.083,0.004,0.126,0.812,0.774,0.867,0.962,0.944,0.996,3.529,3.332,3.718
2017,0.078,0.004,0.127,0.625,0.568,0.714,0.931,0.898,0.984,3.382,3.188,3.59
2018,0.077,0.004,0.125,0.625,0.558,0.706,0.948,0.922,0.992,3.382,3.188,3.59
2019,0.076,0.005,0.118,0.623,0.561,0.71,0.947,0.921,0.992,3.382,3.188,3.59
2020,0.092,0.006,0.141,0.587,0.511,0.672,0.928,0.895,0.986,3.38,3.189,3.618
2021,0.106,0.012,0.166,0.722,0.665,0.796,0.93,0.896,0.984,3.607,3.442,3.84
2022,0.103,0.011,0.157,0.737,0.684,0.811,0.93,0.896,0.984,3.537,3.338,3.784
2023,0.107,0.007,0.171,0.752,0.699,0.819,0.93,0.896,0.984,3.537,3.338,3.784
2024,0.097,0.004,0.147,0.745,0.689,0.805,0.902,0.86,0.977,3.156,2.933,3.413
2025,0.105,0.004,0.16,0.481,0.399,0.565,0.844,0.779,0.947,2.848,2.61,3.138
