Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
2008,0.113,0.012,0.169,0.747,0.689,0.811,0.959,0.938,0.994,3.328,3.084,3.505
2009,0.113,0.012,0.169,0.748,0.689,0.811,0.959,0.938,0.994,3.328,3.084,3.505
2010,0.103,0.009,0.155,0.76,0.703,0.821,0.96,0.943,0.995,3.328,3.084,3.505
2011,0.1,0.006,0.148,0.763,0.71,0.833,0.961,0.94,0.994,3.328,3.084,3.505
2012,0.112,0.012,0.172,0.748,0.692,0.816,0.961,0.94,0.994,3.328,3.084,3.505
2013,0.111,0.008,0.167,0.748,0.682,0.81,0.958,0.939,0.995,3.128,2.937,3.348
2014,0.111,0.008,0.167,0.737,0.682,0.802,0.952,0.931,0.994,3.128,2.937,3.348
2015,0.121,0.013,0.179,0.693,0.631,0.775,0.867,0.812,0.952,3.032,2.847,3.244
2016,0.14,0.01,0.205,0.503,0.432,0.579,0.765,0.682,0.888,2.621,2.4,2.811
2017,0.14,0.01,0.205,0.467,0.393,0.533,0.678,0.573,0.817,2.308,2.113,2.511
2018,0.132,0.018,0.198,0.474,0.398,0.54,0.587,0.467,0.733,2.308,2.113,2.511
2019,0.134,0.017,0.201,0.445,0.377,0.518,0.561,0.435,0.703,2.279,2.068,2.486
2020,0.226,0.069,0.346,0.394,0.327,0.462,0.572,0.455,0.713,2.272,2.071,2.467
2021,0.238,0.073,0.35,0.373,0.315,0.44,0.543,0.433,0.692,2.272,2.071,2.467
2022,0.233,0.06,0.337,0.362,0.298,0.424,0.564,0.449,0.716,2.272,2.071,2.467
2023,0.262,0.089,0.381,0.442,0.379,0.501,0.56,0.431,0.697,2.365,2.109,2.612
2024,0.173,0.02,0.25,0.605,0.551,0.683,0.728,0.635,0.859,2.632,2.362,2.89
2025,0.143,0.017,0.211,0.653,0.583,0.724,0.714,0.605,0.833,2.514,2.224,2.778
