Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1928,0.357,0.131,0.517,0.054,0.028,0.071,0.55,0.408,0.712,0.652,0.304,0.894
1929,0.357,0.131,0.517,0.054,0.028,0.071,0.55,0.408,0.712,0.652,0.304,0.894
1930,0.357,0.131,0.517,0.056,0.035,0.077,0.55,0.408,0.712,0.652,0.304,0.894
1931,0.358,0.143,0.539,0.06,0.035,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1932,0.358,0.148,0.549,0.06,0.035,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1933,0.358,0.148,0.549,0.06,0.035,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1934,0.358,0.148,0.549,0.06,0.035,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1935,0.362,0.154,0.527,0.063,0.033,0.082,0.55,0.408,0.712,0.652,0.304,0.894
1936,0.362,0.154,0.527,0.061,0.034,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1937,0.362,0.154,0.527,0.061,0.034,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1938,0.362,0.154,0.527,0.061,0.034,0.079,0.55,0.408,0.712,0.652,0.304,0.894
1939,0.358,0.147,0.537,0.07,0.044,0.094,0.55,0.408,0.712,0.652,0.304,0.894
1940,0.357,0.145,0.539,0.071,0.045,0.095,0.536,0.398,0.695,0.652,0.304,0.894
1941,0.357,0.145,0.539,0.071,0.045,0.095,0.536,0.398,0.695,0.652,0.304,0.894
1942,0.357,0.145,0.539,0.071,0.045,0.095,0.536,0.398,0.695,0.652,0.304,0.894
1943,0.363,0.16,0.564,0.071,0.043,0.093,0.536,0.398,0.695,1.125,0.787,1.446
1944,0.364,0.162,0.568,0.071,0.043,0.093,0.536,0.398,0.695,1.125,0.787,1.446
1945,0.364,0.162,0.568,0.071,0.044,0.094,0.544,0.399,0.706,1.383,1.039,1.678
1946,0.322,0.102,0.471,0.139,0.101,0.173,0.544,0.399,0.706,1.383,1.039,1.678
1947,0.347,0.116,0.498,0.145,0.106,0.18,0.544,0.399,0.706,1.383,1.039,1.678
1948,0.347,0.116,0.498,0.146,0.108,0.182,0.544,0.399,0.706,1.383,1.039,1.678
1949,0.347,0.116,0.498,0.146,0.108,0.182,0.544,0.399,0.706,1.584,1.264,1.888
1950,0.524,0.306,0.734,0.164,0.118,0.203,0.527,0.364,0.665,1.189,0.893,1.509
1951,0.526,0.301,0.736,0.201,0.15,0.242,0.619,0.476,0.764,1.189,0.893,1.509
1952,0.526,0.301,0.736,0.2,0.146,0.239,0.619,0.476,0.764,1.189,0.893,1.509
1953,0.526,0.301,0.736,0.2,0.161,0.253,0.619,0.476,0.764,1.375,1.065,1.684
1954,0.53,0.305,0.743,0.191,0.139,0.231,0.684,0.57,0.846,1.226,0.909,1.544
1955,0.532,0.307,0.747,0.18,0.13,0.223,0.602,0.466,0.761,1.226,0.909,1.544
1956,0.532,0.307,0.747,0.166,0.123,0.209,0.602,0.466,0.761,1.226,0.909,1.544
1957,0.53,0.304,0.742,0.166,0.122,0.209,0.602,0.466,0.761,1.226,0.909,1.544
1958,0.522,0.292,0.723,0.166,0.119,0.206,0.602,0.466,0.761,1.226,0.909,1.544
1959,0.522,0.292,0.723,0.166,0.119,0.206,0.602,0.466,0.761,1.226,0.909,1.544
1960,0.308,0.085,0.441,0.061,0.037,0.078,0.618,0.474,0.779,0.708,0.344,0.957
1961,0.304,0.085,0.436,0.133,0.099,0.171,0.528,0.352,0.654,0.852,0.533,1.169
1962,0.376,0.138,0.546,0.191,0.149,0.233,0.777,0.687,0.912,1.367,1.034,1.695
1963,0.376,0.138,0.546,0.263,0.227,0.303,0.777,0.687,0.912,1.797,1.465,2.088
1964,0.376,0.138,0.546,0.263,0.226,0.306,0.777,0.687,0.912,1.797,1.465,2.088
1965,0.374,0.139,0.544,0.267,0.234,0.316,0.808,0.726,0.927,1.797,1.465,2.088
1966,0.367,0.144,0.538,0.39,0.33,0.45,0.77,0.676,0.903,1.797,1.465,2.088
1967,0.367,0.144,0.538,0.423,0.358,0.491,0.77,0.676,0.903,1.797,1.465,2.088
1968,0.367,0.144,0.538,0.423,0.358,0.491,0.77,0.676,0.903,1.797,1.465,2.088
1969,0.368,0.141,0.53,0.423,0.354,0.488,0.77,0.676,0.903,1.797,1.465,2.088
1970,0.371,0.13,0.504,0.3,0.229,0.365,0.77,0.676,0.903,1.145,0.832,1.494
1971,0.371,0.13,0.504,0.258,0.187,0.307,0.511,0.354,0.655,1.145,0.832,1.494
1972,0.371,0.13,0.504,0.269,0.213,0.333,0.489,0.339,0.632,1.145,0.832,1.494
1973,0.365,0.133,0.506,0.372,0.308,0.434,0.489,0.339,0.632,1.822,1.527,2.143
1974,0.343,0.141,0.512,0.44,0.371,0.506,0.732,0.625,0.869,1.822,1.527,2.143
1975,0.343,0.141,0.512,0.439,0.365,0.499,0.732,0.625,0.869,1.822,1.527,2.143
1976,0.343,0.141,0.512,0.439,0.365,0.499,0.735,0.633,0.879,1.822,1.527,2.143
1977,0.334,0.124,0.488,0.438,0.367,0.502,0.735,0.633,0.879,1.822,1.527,2.143
1978,0.327,0.112,0.47,0.444,0.38,0.51,0.732,0.627,0.879,1.822,1.527,2.143
1979,0.327,0.112,0.47,0.432,0.369,0.502,0.732,0.627,0.879,1.822,1.527,2.143
1980,0.289,0.068,0.404,0.135,0.094,0.174,0.734,0.626,0.863,0.636,0.34,0.92
1981,0.289,0.068,0.404,0.025,0.011,0.034,0.295,0.131,0.389,0.636,0.34,0.92
1982,0.289,0.068,0.404,0.025,0.011,0.034,0.295,0.131,0.389,0.636,0.34,0.92
1983,0.409,0.175,0.621,0.136,0.102,0.172,0.406,0.235,0.528,0.79,0.478,1.107
1984,0.359,0.146,0.524,0.323,0.273,0.372,0.814,0.739,0.937,1.222,0.861,1.497
1985,0.359,0.146,0.524,0.324,0.271,0.371,0.814,0.739,0.937,1.222,0.861,1.497
1986,0.359,0.146,0.524,0.329,0.276,0.38,0.775,0.679,0.904,1.311,1.001,1.631
1987,0.359,0.146,0.525,0.336,0.281,0.389,0.744,0.646,0.887,1.311,1.001,1.631
1988,0.361,0.143,0.532,0.374,0.315,0.435,0.744,0.646,0.887,1.311,1.001,1.631
1989,0.307,0.094,0.442,0.374,0.315,0.435,0.744,0.646,0.887,1.311,1.001,1.631
1990,0.345,0.118,0.496,0.391,0.333,0.454,0.744,0.646,0.887,2.216,1.911,2.518
1991,0.347,0.125,0.504,0.409,0.349,0.469,0.744,0.646,0.887,2.216,1.911,2.518
1992,0.357,0.157,0.535,0.421,0.357,0.481,0.744,0.646,0.887,2.216,1.911,2.518
1993,0.357,0.157,0.535,0.417,0.358,0.48,0.744,0.646,0.887,2.216,1.911,2.518
1994,0.357,0.157,0.535,0.419,0.363,0.485,0.744,0.646,0.887,2.216,1.911,2.518
1995,0.358,0.157,0.535,0.421,0.365,0.485,0.744,0.646,0.887,2.216,1.911,2.518
1996,0.37,0.14,0.535,0.43,0.37,0.493,0.768,0.676,0.899,2.216,1.911,2.518
1997,0.37,0.14,0.535,0.434,0.371,0.498,0.836,0.77,0.951,2.216,1.911,2.518
1998,0.291,0.089,0.434,0.433,0.379,0.507,0.823,0.745,0.937,2.216,1.911,2.518
1999,0.319,0.109,0.469,0.442,0.382,0.514,0.823,0.745,0.937,2.353,2.027,2.618
2000,0.364,0.141,0.517,0.457,0.385,0.521,0.823,0.745,0.937,2.353,2.027,2.618
2001,0.364,0.141,0.517,0.454,0.386,0.518,0.834,0.757,0.936,2.353,2.027,2.618
2002,0.335,0.136,0.494,0.491,0.431,0.564,0.874,0.814,0.957,2.876,2.589,3.157
2003,0.329,0.127,0.482,0.503,0.437,0.562,0.856,0.799,0.951,2.876,2.589,3.157
2004,0.329,0.127,0.482,0.513,0.445,0.577,0.856,0.799,0.951,2.876,2.589,3.157
2005,0.329,0.127,0.482,0.499,0.446,0.568,0.856,0.799,0.951,2.372,2.204,2.515
2006,0.312,0.111,0.448,0.494,0.431,0.562,0.856,0.799,0.951,2.372,2.204,2.515
2007,0.39,0.175,0.544,0.471,0.406,0.539,0.849,0.79,0.949,2.288,2.137,2.442
2008,0.508,0.349,0.736,0.4,0.335,0.461,0.847,0.785,0.944,2.109,1.961,2.28
2009,0.51,0.301,0.683,0.393,0.336,0.461,0.848,0.782,0.938,2.109,1.961,2.28
2010,0.51,0.284,0.675,0.361,0.297,0.422,0.745,0.657,0.869,1.851,1.698,2.016
2011,0.506,0.314,0.712,0.31,0.251,0.373,0.715,0.618,0.851,1.851,1.698,2.016
2012,0.539,0.332,0.704,0.301,0.241,0.359,0.712,0.609,0.849,1.839,1.684,1.997
2013,0.538,0.311,0.707,0.231,0.173,0.282,0.662,0.532,0.794,1.619,1.465,1.794
2014,0.552,0.358,0.743,0.2,0.148,0.241,0.582,0.456,0.725,1.578,1.433,1.761
2015,0.55,0.371,0.755,0.166,0.12,0.2,0.582,0.439,0.717,1.508,1.318,1.654
2016,0.605,0.464,0.826,0.103,0.069,0.126,0.33,0.195,0.462,1.28,1.114,1.461
2017,0.572,0.385,0.767,0.105,0.07,0.131,0.137,0.047,0.196,0.926,0.749,1.154
2018,0.588,0.415,0.788,0.102,0.069,0.126,0.155,0.058,0.223,0.877,0.685,1.079
2019,0.592,0.443,0.813,0.105,0.074,0.134,0.169,0.06,0.232,1.006,0.813,1.218
2020,0.592,0.443,0.813,0.099,0.069,0.125,0.156,0.058,0.227,1.006,0.813,1.218
2021,0.606,0.442,0.814,0.094,0.062,0.119,0.166,0.07,0.237,0.986,0.75,1.185
2022,0.615,0.477,0.851,0.094,0.063,0.119,0.176,0.065,0.249,0.955,0.714,1.152
2023,0.645,0.486,0.84,0.096,0.064,0.119,0.188,0.083,0.278,0.967,0.75,1.199
2024,0.636,0.474,0.846,0.096,0.064,0.117,0.221,0.089,0.298,0.816,0.573,1.04
