Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1916,0.565,0.414,0.782,0.213,0.168,0.254,0.595,0.482,0.727,2.631,2.416,2.782
1917,0.565,0.414,0.782,0.212,0.17,0.256,0.595,0.482,0.727,2.631,2.416,2.782
1918,0.565,0.414,0.782,0.22,0.174,0.258,0.595,0.482,0.727,2.631,2.416,2.782
1919,0.546,0.354,0.739,0.256,0.215,0.302,0.602,0.494,0.749,2.631,2.416,2.782
1920,0.523,0.298,0.68,0.258,0.203,0.293,0.603,0.494,0.733,2.631,2.416,2.782
1921,0.546,0.325,0.708,0.252,0.207,0.295,0.603,0.494,0.733,2.631,2.416,2.782
1922,0.583,0.4,0.769,0.127,0.087,0.159,0.595,0.468,0.725,2.231,1.986,2.493
1923,0.736,0.6,0.917,0.063,0.038,0.075,0.304,0.166,0.401,1.813,1.571,2.107
1924,0.709,0.576,0.904,0.043,0.027,0.057,0.293,0.153,0.386,1.813,1.571,2.107
1925,0.71,0.588,0.916,0.01,0.006,0.014,0.134,0.044,0.186,1.607,1.333,1.891
1926,0.688,0.568,0.919,0.008,0.004,0.011,0.105,0.035,0.155,1.405,1.154,1.713
1927,0.688,0.568,0.919,0.008,0.004,0.011,0.084,0.024,0.124,1.522,1.23,1.781
1928,0.688,0.568,0.919,0.008,0.004,0.011,0.084,0.024,0.124,1.522,1.23,1.781
1929,0.697,0.563,0.908,0.007,0.003,0.01,0.084,0.024,0.124,1.522,1.23,1.781
1930,0.7,0.562,0.905,0.007,0.003,0.009,0.084,0.024,0.124,1.522,1.23,1.781
1931,0.7,0.562,0.905,0.007,0.003,0.009,0.084,0.024,0.124,1.522,1.23,1.781
1932,0.7,0.562,0.905,0.007,0.003,0.009,0.084,0.024,0.124,1.522,1.23,1.781
1933,0.7,0.562,0.905,0.007,0.003,0.009,0.084,0.024,0.124,1.625,1.387,1.926
1934,0.702,0.565,0.918,0.007,0.003,0.009,0.084,0.024,0.124,1.625,1.387,1.926
1935,0.703,0.566,0.922,0.007,0.003,0.009,0.084,0.024,0.124,1.625,1.387,1.926
1936,0.703,0.566,0.922,0.007,0.003,0.009,0.084,0.024,0.124,1.492,1.246,1.808
1937,0.703,0.566,0.922,0.007,0.003,0.009,0.084,0.024,0.124,1.492,1.246,1.808
1938,0.703,0.566,0.922,0.007,0.003,0.009,0.084,0.024,0.124,1.492,1.246,1.808
1939,0.703,0.566,0.922,0.007,0.003,0.009,0.084,0.024,0.124,1.492,1.246,1.808
1940,0.703,0.566,0.922,0.007,0.003,0.009,0.097,0.027,0.138,1.492,1.246,1.808
1941,0.703,0.566,0.922,0.007,0.003,0.009,0.097,0.027,0.138,1.492,1.246,1.808
1942,0.703,0.566,0.922,0.007,0.003,0.009,0.097,0.027,0.138,1.492,1.246,1.808
1943,0.703,0.566,0.922,0.007,0.003,0.009,0.097,0.027,0.138,1.33,1.05,1.634
1944,0.556,0.329,0.803,0.118,0.088,0.151,0.413,0.285,0.555,1.401,1.094,1.657
1945,0.556,0.329,0.803,0.125,0.094,0.159,0.416,0.271,0.541,1.401,1.094,1.657
1946,0.525,0.333,0.762,0.301,0.248,0.353,0.629,0.51,0.775,2.855,2.601,3.108
1947,0.362,0.136,0.523,0.499,0.43,0.561,0.65,0.522,0.78,3.15,2.92,3.428
1948,0.376,0.175,0.564,0.508,0.45,0.57,0.683,0.589,0.825,3.15,2.92,3.428
1949,0.399,0.18,0.571,0.564,0.503,0.631,0.683,0.589,0.825,3.15,2.92,3.428
1950,0.399,0.18,0.571,0.564,0.503,0.631,0.683,0.589,0.825,3.15,2.92,3.428
1951,0.399,0.18,0.571,0.564,0.503,0.631,0.683,0.589,0.825,3.15,2.92,3.428
1952,0.399,0.18,0.571,0.564,0.503,0.631,0.683,0.589,0.825,3.15,2.92,3.428
1953,0.352,0.136,0.518,0.571,0.513,0.642,0.683,0.589,0.825,3.15,2.92,3.428
1954,0.348,0.132,0.519,0.609,0.546,0.667,0.683,0.589,0.825,3.15,2.92,3.428
1955,0.348,0.132,0.519,0.609,0.546,0.667,0.683,0.589,0.825,3.15,2.92,3.428
1956,0.348,0.132,0.519,0.625,0.576,0.703,0.781,0.704,0.902,3.15,2.92,3.428
1957,0.348,0.132,0.519,0.625,0.576,0.703,0.781,0.704,0.902,3.15,2.92,3.428
1958,0.345,0.123,0.501,0.63,0.577,0.703,0.781,0.704,0.902,3.15,2.92,3.428
1959,0.343,0.117,0.489,0.632,0.578,0.703,0.781,0.704,0.902,3.15,2.92,3.428
1960,0.358,0.135,0.521,0.645,0.581,0.707,0.795,0.714,0.906,3.15,2.92,3.428
1961,0.358,0.135,0.521,0.646,0.591,0.717,0.795,0.714,0.906,3.15,2.92,3.428
1962,0.358,0.135,0.521,0.646,0.591,0.717,0.795,0.714,0.906,3.15,2.92,3.428
1963,0.337,0.118,0.489,0.643,0.588,0.714,0.795,0.714,0.906,3.15,2.92,3.428
1964,0.327,0.109,0.475,0.643,0.592,0.718,0.795,0.714,0.906,3.15,2.92,3.428
1965,0.327,0.109,0.475,0.643,0.592,0.718,0.795,0.714,0.906,3.15,2.92,3.428
1966,0.327,0.109,0.475,0.65,0.581,0.705,0.795,0.714,0.906,3.15,2.92,3.428
1967,0.327,0.109,0.475,0.65,0.581,0.705,0.795,0.714,0.906,3.15,2.92,3.428
1968,0.332,0.106,0.48,0.653,0.596,0.716,0.804,0.72,0.904,3.15,2.92,3.428
1969,0.335,0.105,0.483,0.662,0.61,0.727,0.804,0.72,0.904,3.15,2.92,3.428
1970,0.307,0.096,0.437,0.681,0.625,0.742,0.823,0.749,0.924,3.15,2.92,3.428
1971,0.307,0.096,0.437,0.68,0.631,0.748,0.823,0.749,0.924,3.15,2.92,3.428
1972,0.292,0.095,0.434,0.682,0.634,0.751,0.823,0.749,0.924,3.15,2.92,3.428
1973,0.284,0.094,0.432,0.677,0.621,0.738,0.823,0.749,0.924,3.071,2.834,3.33
1974,0.284,0.094,0.432,0.677,0.621,0.738,0.823,0.749,0.924,3.071,2.834,3.33
1975,0.284,0.094,0.432,0.684,0.628,0.748,0.837,0.763,0.931,3.071,2.834,3.33
1976,0.28,0.079,0.415,0.694,0.641,0.761,0.837,0.763,0.931,3.071,2.834,3.33
1977,0.278,0.066,0.401,0.701,0.648,0.766,0.837,0.763,0.931,3.071,2.834,3.33
1978,0.278,0.066,0.401,0.701,0.648,0.766,0.837,0.763,0.931,3.071,2.834,3.33
1979,0.275,0.073,0.401,0.702,0.642,0.759,0.837,0.763,0.931,3.071,2.834,3.33
1980,0.274,0.077,0.401,0.73,0.676,0.793,0.837,0.763,0.931,3.166,2.942,3.414
1981,0.274,0.077,0.401,0.74,0.681,0.801,0.837,0.763,0.931,3.166,2.942,3.414
1982,0.274,0.077,0.401,0.74,0.681,0.801,0.837,0.763,0.931,3.166,2.942,3.414
1983,0.275,0.076,0.4,0.743,0.681,0.8,0.837,0.763,0.931,3.166,2.942,3.414
1984,0.277,0.075,0.398,0.758,0.715,0.827,0.837,0.763,0.931,3.166,2.942,3.414
1985,0.276,0.07,0.394,0.762,0.717,0.826,0.837,0.763,0.931,3.166,2.942,3.414
1986,0.276,0.07,0.394,0.762,0.717,0.826,0.837,0.763,0.931,3.166,2.942,3.414
1987,0.269,0.072,0.392,0.76,0.709,0.817,0.837,0.763,0.931,3.166,2.942,3.414
1988,0.263,0.074,0.391,0.759,0.702,0.809,0.837,0.763,0.931,3.166,2.942,3.414
1989,0.263,0.074,0.391,0.759,0.702,0.809,0.837,0.763,0.931,3.166,2.942,3.414
1990,0.219,0.058,0.339,0.759,0.702,0.809,0.856,0.798,0.945,3.166,2.942,3.414
1991,0.219,0.058,0.339,0.764,0.708,0.817,0.856,0.798,0.945,3.166,2.942,3.414
1992,0.227,0.042,0.323,0.778,0.73,0.839,0.856,0.798,0.945,3.166,2.942,3.414
1993,0.198,0.026,0.289,0.778,0.731,0.838,0.856,0.798,0.945,3.166,2.942,3.414
1994,0.222,0.051,0.319,0.765,0.716,0.827,0.841,0.767,0.931,3.166,2.942,3.414
1995,0.222,0.05,0.316,0.75,0.686,0.806,0.859,0.802,0.953,3.166,2.942,3.414
1996,0.221,0.041,0.314,0.756,0.698,0.812,0.859,0.802,0.953,3.166,2.942,3.414
1997,0.204,0.033,0.295,0.783,0.736,0.841,0.859,0.802,0.953,3.166,2.942,3.414
1998,0.204,0.033,0.295,0.783,0.736,0.841,0.859,0.802,0.953,3.166,2.942,3.414
1999,0.204,0.033,0.295,0.783,0.736,0.841,0.859,0.802,0.953,3.166,2.942,3.414
2000,0.204,0.033,0.295,0.777,0.725,0.833,0.859,0.802,0.953,3.166,2.942,3.414
2001,0.201,0.033,0.289,0.771,0.726,0.834,0.846,0.772,0.933,3.166,2.942,3.414
2002,0.199,0.043,0.3,0.76,0.709,0.824,0.859,0.796,0.94,3.166,2.942,3.414
2003,0.199,0.043,0.3,0.76,0.709,0.824,0.867,0.807,0.946,3.166,2.942,3.414
2004,0.199,0.043,0.3,0.771,0.724,0.835,0.867,0.807,0.946,3.166,2.942,3.414
2005,0.199,0.043,0.3,0.779,0.726,0.832,0.867,0.807,0.946,3.166,2.942,3.414
2006,0.18,0.028,0.27,0.791,0.743,0.845,0.878,0.829,0.965,3.166,2.942,3.414
2007,0.172,0.023,0.259,0.807,0.758,0.858,0.873,0.82,0.956,3.166,2.942,3.414
2008,0.176,0.031,0.262,0.799,0.754,0.85,0.855,0.79,0.94,3.166,2.942,3.414
2009,0.177,0.034,0.263,0.795,0.751,0.848,0.867,0.816,0.95,3.166,2.942,3.414
2010,0.177,0.034,0.263,0.796,0.748,0.844,0.875,0.819,0.957,3.166,2.942,3.414
2011,0.175,0.017,0.253,0.803,0.759,0.856,0.875,0.819,0.957,3.166,2.942,3.414
2012,0.183,0.033,0.273,0.816,0.775,0.868,0.872,0.817,0.958,3.166,2.942,3.414
2013,0.183,0.032,0.275,0.802,0.761,0.862,0.87,0.813,0.949,3.166,2.942,3.414
2014,0.182,0.032,0.276,0.802,0.752,0.857,0.87,0.813,0.949,3.166,2.942,3.414
2015,0.182,0.032,0.276,0.803,0.76,0.862,0.87,0.813,0.949,3.166,2.942,3.414
2016,0.182,0.032,0.276,0.812,0.776,0.87,0.87,0.813,0.949,3.166,2.942,3.414
2017,0.182,0.032,0.276,0.805,0.766,0.865,0.88,0.823,0.953,3.166,2.942,3.414
2018,0.155,0.021,0.235,0.8,0.755,0.852,0.857,0.795,0.941,3.166,2.942,3.414
2019,0.152,0.021,0.228,0.792,0.744,0.846,0.857,0.795,0.941,3.166,2.942,3.414
2020,0.139,0.008,0.203,0.786,0.74,0.848,0.857,0.795,0.941,3.166,2.942,3.414
2021,0.137,0.015,0.204,0.789,0.743,0.848,0.857,0.795,0.941,3.166,2.942,3.414
2022,0.138,0.014,0.205,0.772,0.715,0.825,0.857,0.795,0.941,3.166,2.942,3.414
2023,0.182,0.034,0.269,0.733,0.687,0.803,0.849,0.79,0.943,3.166,2.942,3.414
2024,0.182,0.034,0.269,0.693,0.64,0.764,0.772,0.677,0.89,3.166,2.942,3.414
