Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1936,0.396,0.181,0.576,0.013,0.006,0.016,0.045,0.007,0.067,1.062,0.868,1.264
1937,0.366,0.155,0.527,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1938,0.366,0.156,0.523,0.012,0.006,0.016,0.045,0.007,0.067,1.062,0.868,1.264
1939,0.366,0.157,0.522,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1940,0.366,0.157,0.522,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1941,0.366,0.157,0.522,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1942,0.366,0.157,0.522,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1943,0.366,0.157,0.522,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1944,0.366,0.157,0.522,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
1945,,,,,,,,,,,,
1946,,,,,,,,,,,,
1947,,,,,,,,,,,,
1948,,,,,,,,,,,,
1949,0.043,0.0,0.074,0.718,0.665,0.783,0.946,0.922,0.993,3.717,3.586,3.932
1950,0.032,0.0,0.054,0.733,0.681,0.8,0.953,0.93,0.992,3.578,3.396,3.831
1951,0.032,0.0,0.054,0.733,0.681,0.8,0.953,0.93,0.992,3.726,3.603,3.94
1952,0.032,0.0,0.054,0.716,0.652,0.773,0.953,0.93,0.992,3.726,3.603,3.94
1953,0.03,0.0,0.052,0.732,0.672,0.793,0.953,0.93,0.992,3.726,3.603,3.94
1954,0.027,0.0,0.048,0.748,0.691,0.807,0.953,0.93,0.992,3.726,3.603,3.94
1955,0.027,0.0,0.048,0.748,0.691,0.807,0.953,0.93,0.992,3.726,3.603,3.94
1956,0.027,0.0,0.048,0.742,0.693,0.816,0.953,0.93,0.992,3.726,3.603,3.94
1957,0.027,0.0,0.048,0.75,0.692,0.806,0.953,0.93,0.992,3.726,3.603,3.94
1958,0.026,0.0,0.049,0.746,0.68,0.801,0.953,0.93,0.992,3.726,3.603,3.94
1959,0.026,0.0,0.049,0.753,0.701,0.817,0.953,0.93,0.992,3.726,3.603,3.94
1960,0.026,0.0,0.049,0.767,0.713,0.823,0.953,0.93,0.992,3.726,3.603,3.94
1961,0.025,0.0,0.047,0.77,0.719,0.828,0.953,0.93,0.992,3.726,3.603,3.94
1962,0.022,0.0,0.041,0.777,0.726,0.832,0.952,0.929,0.992,3.726,3.603,3.94
1963,0.022,0.0,0.041,0.783,0.736,0.84,0.952,0.929,0.992,3.726,3.603,3.94
1964,0.022,0.0,0.041,0.783,0.736,0.84,0.952,0.929,0.992,3.726,3.603,3.94
1965,0.023,0.0,0.042,0.786,0.735,0.84,0.952,0.929,0.992,3.726,3.603,3.94
1966,0.024,0.0,0.044,0.785,0.732,0.842,0.952,0.929,0.992,3.726,3.603,3.94
1967,0.024,0.0,0.044,0.785,0.732,0.842,0.952,0.929,0.992,3.726,3.603,3.94
1968,0.024,0.0,0.044,0.799,0.747,0.85,0.952,0.929,0.992,3.844,3.76,3.992
1969,0.021,0.0,0.039,0.809,0.759,0.861,0.952,0.929,0.992,3.844,3.76,3.992
1970,0.023,0.0,0.041,0.824,0.78,0.877,0.952,0.929,0.992,3.844,3.76,3.992
1971,0.023,0.0,0.041,0.824,0.779,0.877,0.952,0.929,0.992,3.844,3.76,3.992
1972,0.023,0.0,0.041,0.823,0.779,0.877,0.952,0.929,0.992,3.844,3.76,3.992
1973,0.022,0.0,0.04,0.821,0.775,0.875,0.952,0.929,0.992,3.844,3.76,3.992
1974,0.022,0.0,0.04,0.821,0.775,0.875,0.952,0.929,0.992,3.844,3.76,3.992
1975,0.021,0.0,0.039,0.821,0.775,0.875,0.952,0.929,0.992,3.844,3.76,3.992
1976,0.021,0.0,0.039,0.821,0.775,0.875,0.952,0.929,0.992,3.844,3.76,3.992
1977,0.021,0.0,0.039,0.82,0.783,0.88,0.952,0.929,0.992,3.844,3.76,3.992
1978,0.021,0.0,0.039,0.824,0.783,0.878,0.952,0.929,0.992,3.844,3.76,3.992
1979,0.021,0.0,0.039,0.827,0.784,0.881,0.952,0.929,0.992,3.844,3.76,3.992
1980,0.021,0.0,0.04,0.831,0.79,0.886,0.952,0.929,0.992,3.844,3.76,3.992
1981,0.022,0.0,0.042,0.831,0.791,0.888,0.952,0.929,0.992,3.844,3.76,3.992
1982,0.022,0.0,0.04,0.829,0.784,0.881,0.952,0.929,0.992,3.844,3.76,3.992
1983,0.023,0.0,0.04,0.828,0.787,0.882,0.952,0.929,0.992,3.844,3.76,3.992
1984,0.023,0.0,0.039,0.828,0.787,0.882,0.952,0.929,0.992,3.844,3.76,3.992
1985,0.023,0.0,0.039,0.828,0.787,0.882,0.952,0.929,0.992,3.844,3.76,3.992
1986,0.023,0.0,0.039,0.828,0.787,0.882,0.952,0.929,0.992,3.844,3.76,3.992
1987,0.027,0.0,0.05,0.829,0.788,0.89,0.952,0.929,0.992,3.844,3.76,3.992
1988,0.027,0.0,0.05,0.829,0.788,0.89,0.952,0.929,0.992,3.844,3.76,3.992
1989,0.027,0.0,0.05,0.829,0.788,0.89,0.952,0.929,0.992,3.844,3.76,3.992
1990,0.027,0.0,0.049,0.867,0.83,0.915,0.952,0.929,0.992,3.915,3.862,4.0
1991,0.028,0.0,0.048,0.867,0.83,0.916,0.952,0.929,0.992,3.915,3.862,4.0
1992,0.028,0.0,0.048,0.867,0.83,0.916,0.952,0.929,0.992,3.915,3.862,4.0
1993,0.028,0.0,0.048,0.867,0.83,0.916,0.952,0.929,0.992,3.915,3.862,4.0
1994,0.028,0.0,0.048,0.867,0.83,0.916,0.952,0.929,0.992,3.915,3.862,4.0
1995,0.028,0.0,0.047,0.868,0.83,0.913,0.952,0.929,0.992,3.915,3.862,4.0
1996,0.028,0.0,0.047,0.868,0.83,0.913,0.952,0.929,0.992,3.915,3.862,4.0
1997,0.028,0.0,0.047,0.868,0.83,0.913,0.952,0.929,0.992,3.915,3.862,4.0
1998,0.027,0.0,0.046,0.867,0.831,0.914,0.952,0.929,0.992,3.915,3.862,4.0
1999,0.026,0.0,0.046,0.867,0.829,0.91,0.952,0.929,0.992,3.915,3.862,4.0
2000,0.026,0.0,0.046,0.867,0.829,0.91,0.952,0.929,0.992,3.915,3.862,4.0
2001,0.026,0.0,0.046,0.867,0.829,0.91,0.952,0.929,0.992,3.915,3.862,4.0
2002,0.026,0.0,0.046,0.868,0.829,0.91,0.952,0.929,0.992,3.915,3.862,4.0
2003,0.026,0.0,0.047,0.868,0.83,0.911,0.952,0.929,0.992,3.915,3.862,4.0
2004,0.026,0.0,0.047,0.868,0.83,0.911,0.952,0.929,0.992,3.915,3.862,4.0
2005,0.026,0.0,0.048,0.868,0.831,0.912,0.952,0.929,0.992,3.915,3.862,4.0
2006,0.028,0.0,0.049,0.877,0.843,0.925,0.952,0.929,0.992,3.915,3.862,4.0
2007,0.028,0.0,0.049,0.877,0.843,0.925,0.952,0.929,0.992,3.915,3.862,4.0
2008,0.028,0.0,0.049,0.877,0.843,0.925,0.952,0.929,0.992,3.915,3.862,4.0
2009,0.028,0.0,0.049,0.872,0.836,0.92,0.952,0.929,0.992,3.915,3.862,4.0
2010,0.028,0.0,0.049,0.869,0.83,0.912,0.952,0.929,0.992,3.915,3.862,4.0
2011,0.028,0.0,0.049,0.874,0.838,0.918,0.952,0.929,0.992,3.915,3.862,4.0
2012,0.028,0.0,0.049,0.873,0.839,0.921,0.952,0.929,0.992,3.915,3.862,4.0
2013,0.029,0.0,0.051,0.864,0.83,0.914,0.952,0.929,0.992,3.886,3.81,4.0
2014,0.032,0.0,0.055,0.855,0.814,0.905,0.952,0.929,0.992,3.886,3.81,4.0
2015,0.049,0.001,0.083,0.853,0.814,0.905,0.952,0.929,0.992,3.886,3.81,4.0
2016,0.049,0.001,0.083,0.857,0.816,0.902,0.952,0.929,0.992,3.886,3.81,4.0
2017,0.05,0.001,0.083,0.856,0.818,0.905,0.919,0.883,0.979,3.886,3.81,4.0
2018,0.052,0.002,0.085,0.843,0.802,0.892,0.919,0.883,0.979,3.886,3.81,4.0
2019,0.052,0.002,0.085,0.845,0.811,0.896,0.919,0.883,0.979,3.886,3.81,4.0
2020,0.052,0.002,0.085,0.835,0.799,0.893,0.919,0.883,0.979,3.886,3.81,4.0
2021,0.053,0.002,0.086,0.826,0.787,0.881,0.919,0.883,0.979,3.886,3.81,4.0
2022,0.055,0.001,0.091,0.817,0.78,0.874,0.919,0.883,0.979,3.886,3.81,4.0
2023,0.055,0.001,0.091,0.818,0.777,0.87,0.95,0.924,0.992,3.886,3.81,4.0
2024,0.035,0.0,0.061,0.801,0.755,0.852,0.936,0.902,0.984,3.886,3.81,4.0
