Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
2010,0.052,0.001,0.085,0.771,0.724,0.841,0.945,0.918,0.988,3.525,3.324,3.762
2011,0.052,0.001,0.085,0.772,0.714,0.832,0.936,0.908,0.987,3.525,3.324,3.762
2012,0.055,0.001,0.089,0.769,0.714,0.829,0.944,0.918,0.991,3.525,3.324,3.762
2013,0.101,0.006,0.158,0.709,0.653,0.786,0.944,0.918,0.991,3.676,3.528,3.917
2014,0.121,0.006,0.178,0.697,0.64,0.779,0.944,0.918,0.991,3.676,3.528,3.917
2015,0.124,0.007,0.185,0.695,0.615,0.753,0.944,0.918,0.991,3.676,3.528,3.917
2016,0.079,0.004,0.126,0.727,0.662,0.792,0.944,0.918,0.991,3.676,3.528,3.917
2017,0.061,0.001,0.102,0.756,0.7,0.819,0.944,0.918,0.991,3.676,3.528,3.917
2018,0.061,0.001,0.102,0.767,0.701,0.825,0.944,0.918,0.991,3.676,3.528,3.917
2019,0.061,0.001,0.102,0.781,0.724,0.836,0.944,0.918,0.991,3.676,3.528,3.917
2020,0.055,0.0,0.089,0.795,0.742,0.848,0.949,0.926,0.99,3.515,3.325,3.805
2021,0.073,0.002,0.125,0.745,0.693,0.814,0.946,0.919,0.989,3.586,3.368,3.839
2022,0.074,0.001,0.117,0.738,0.68,0.801,0.946,0.919,0.989,3.586,3.368,3.839
2023,0.074,0.001,0.117,0.756,0.702,0.821,0.946,0.919,0.989,3.586,3.368,3.839
2024,0.075,0.001,0.121,0.754,0.693,0.813,0.952,0.927,0.993,3.586,3.368,3.839
